frame_idx,blur,illumination,occlusion,gt_fault,gt_blur,gt_illumination,gt_occlusion
0,373.53152452011926,6.283711814027655,1.0,False,False,False,False
1,374.1389911219632,6.2776505294140845,1.0,False,False,False,False
2,373.5363409052567,6.284674580154291,1.0,False,False,False,False
3,373.2294507934373,6.283629162946216,1.0,False,False,False,False
4,373.70724288916864,6.2873073425178525,1.0,False,False,False,False
5,373.29975778895687,6.283811154581789,1.0,False,False,False,False
6,373.71306821481875,6.2842971066768545,1.0,False,False,False,False
7,374.4378590042281,6.274621481354252,1.0,False,False,False,False
8,374.5022205385286,6.272273013453596,1.0,False,False,False,False
9,373.74910583499195,6.271725934675219,1.0,False,False,False,False
10,374.6611471530888,6.275699753901183,1.0,False,False,False,False
11,372.904058119801,6.284901059026446,1.0,False,False,False,False
12,372.8540990066692,6.285318895289652,1.0,False,False,False,False
13,372.38679947819764,6.28775178564265,1.0,False,False,False,False
14,372.22347110942985,6.285218768368993,1.0,False,False,False,False
15,372.7828135467698,6.276322705749721,1.0,False,False,False,False
16,372.5350987506856,6.278498460159878,1.0,False,False,False,False
17,372.6979674964235,6.284631083758285,1.0,False,False,False,False
18,373.009483682936,6.2850641094523345,1.0,False,False,False,False
19,372.1972490761229,6.282937216861338,1.0,False,False,False,False
20,372.0810111531002,6.285030187012245,1.0,False,False,False,False
21,373.01455476373485,6.284454759418352,1.0,False,False,False,False
22,373.14575840969763,6.277961491154347,1.0,False,False,False,False
23,373.5051867654579,6.288058081344078,1.0,False,False,False,False
24,373.91037891250573,6.2870555141888556,1.0,False,False,False,False
25,373.6175124719481,6.287328901355686,1.0,False,False,False,False
26,373.31254113307,6.287001794749575,1.0,False,False,False,False
27,374.1054791544877,6.2875284447506505,1.0,False,False,False,False
28,373.9965218469423,6.276075737341431,1.0,False,False,False,False
29,373.900569057482,6.276114331422435,1.0,False,False,False,False
30,375.4052238183347,6.276928003303174,1.0,False,False,False,False
31,375.12824227348625,6.276121976472184,1.0,False,False,False,False
32,375.3339416614112,6.276114924869923,1.0,False,False,False,False
33,375.95296295224057,6.277053650940123,1.0,False,False,False,False
34,375.10027469849297,6.2759035438284645,1.0,False,False,False,False
35,375.03092550277506,6.275682090876421,1.0,False,False,False,False
36,375.7377566003779,6.275478228619695,1.0,False,False,False,False
37,375.9156850192786,6.279108790891801,1.0,False,False,False,False
38,376.2811705910288,6.275967076937708,1.0,False,False,False,False
39,375.6808361792132,6.275609436719391,1.0,False,False,False,False
40,375.4392752747912,6.27492221651437,1.0,False,False,False,False
41,375.6042658616385,6.273891782057588,1.0,False,False,False,False
42,376.0578056672059,6.277852326061272,1.0,False,False,False,False
43,375.24127717710275,6.274214937964805,1.0,False,False,False,False
44,375.4065009530724,6.274656482638578,1.0,False,False,False,False
45,375.44014958067953,6.276096999518202,1.0,False,False,False,False
46,375.59298525797044,6.2750283086956085,1.0,False,False,False,False
47,375.3661121797674,6.276566247091582,1.0,False,False,False,False
48,375.7817561396343,6.274976450332501,1.0,False,False,False,False
49,375.35089469734567,6.275250593030771,1.0,False,False,False,False
50,376.96627806642357,6.276914031051312,1.0,False,False,False,False
51,377.28638772320994,6.278071689642978,1.0,False,False,False,False
52,377.27542291911624,6.277046982296235,1.0,False,False,False,False
53,376.62438153507753,6.280111680557553,1.0,False,False,False,False
54,377.5951465944595,6.278615014031034,1.0,False,False,False,False
55,376.32130098466325,6.2765929537719725,1.0,False,False,False,False
56,373.09454998506754,6.260160339029844,1.0,False,False,False,False
57,371.40690126091846,6.253033472090613,1.0,False,False,False,False
58,371.86954905488454,6.252888590271441,1.0,False,False,False,False
59,1.411910111461621,6.258110906114819,0.755,True,True,False,False
